zone,state,lga,ea,hhid,indiv,NEWMEMBER,s1q4,s1q2,s1q3,s1q3_os,s1q6,s1q8,s1q9,s1q10,s1q11,s1q12,s1q13,s1q14,s1q15,s1q15a,s1q16,s1q17,s1q18,s1q19_1,s1q19_2,s1q19_3,s1q19_4,s1q19a,s1q19b,s1q19c,s1q19d,s1q20,s1q21,s1q22a,s1q22b,s1q23,s1q23_os,s1q24,s1q25,s1q26,s1q27,s1q28,s1q29,s1q29b,s1q30,s1q31,s1q32,s1q33,s1q34,s1q34_os,s1q34b,s1q35,s1q36,s1q36_os,s1q37,s1q38,s1q39,s1q39_os,s1q39a,s1q39b,s1q39c,s1q39d,s1q39e,s1q39f,s1q39g,s1q39h,s1q39i__1,s1q39i__2,s1q39i__3,s1q39i__4,s1q39i__5,s1q39i__6,s1q39i__7,s1q39i__8,s1q39i__9,s1q39i__10,s1q39i__11,s1q39i__12,s1q39i__13,s1q39i__14,s1q39i__96,s1q39i_os,s1q39j,s1q39k__1,s1q39k__2,s1q39k__3,s1q39k__4,s1q39k__5,s1q39k__6,s1q39k__7,s1q39k__8,s1q39k__9,s1q39k__10,s1q39k__11,s1q39k__12,s1q39k__13,s1q39k__14,s1q39k__96,s1q39k_os,s1q40a,s1q40b,s1q40c,s1q40d,s1q41,s1q42a,s1q44,months_left,s1q45,s1q45_os
3. North West,19. Kano,1924. KIRU,356,199025,19,0,1. YES,2. FEMALE,3. OWN CHILD,,3,1. YES,1. YES,3. MAR,2020,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,3,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199025,1301,0,1. YES,2. FEMALE,3. OWN CHILD,,4,1. YES,1. YES,7. JUL,2019,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199025,1302,0,1. YES,1. MALE,3. OWN CHILD,,2,1. YES,1. YES,11. NOV,2021,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,3,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199025,1401,0,1. YES,2. FEMALE,3. OWN CHILD,,1,1. YES,1. YES,3. MAR,2022,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,3,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199025,5101,1,,2. FEMALE,3. OWN CHILD,,1,2. NO,,10. OCT,2022,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,10. OCT,2022,1. NEW BORN,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,1,0,1. YES,1. MALE,1. HEAD,,35,2. NO,,,1987,1. YES,,2. NO,3,1. YES,2. MARRIED (POLYGAMOUS),35,1. YES,2,1401,,,2013,2021,,,2. NO,,,,,,,2. NO,,1. YES,26. SS3,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,16. P6,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,2,0,1. YES,2. FEMALE,2. SPOUSE,,28,2. NO,,,1994,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,2. MARRIED (POLYGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,26. SS3,13. PUBLIC ADMINISTRATION,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,3,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199026,4,0,1. YES,2. FEMALE,3. OWN CHILD,,7,1. YES,1. YES,,2016,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,5,0,1. YES,1. MALE,3. OWN CHILD,,6,1. YES,1. YES,1. JAN,2017,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,6,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199026,7,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199026,8,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199026,1301,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199026,1401,0,1. YES,2. FEMALE,2. SPOUSE,,23,2. NO,,,2000,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,2. MARRIED (POLYGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,1901,0,1. YES,1. MALE,3. OWN CHILD,,1,1. YES,1. YES,1. JAN,2022,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,1401,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,2101,0,1. YES,1. MALE,3. OWN CHILD,,0,2. NO,,5. MAY,2023,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199026,5101,1,,2. FEMALE,3. OWN CHILD,,4,1. YES,1. YES,3. MAR,2018,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,3. MAR,2018,10. MISTAKENLY NOT REPORTED OR FORGOTTEN LAST VISIT,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,1,0,1. YES,1. MALE,1. HEAD,,46,2. NO,,,1977,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),30,1. YES,2,,,,2009,,,,2. NO,,,,,,,2. NO,,2. NO,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)","1. AGRICULTURE, FORESTRY &amp; FISHING",,1. YES,12,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,2,0,1. YES,2. FEMALE,2. SPOUSE,,32,2. NO,,,1990,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)",3. MANUFACTURING,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)","1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,3,0,1. YES,1. MALE,3. OWN CHILD,,12,2. NO,,,2011,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,4,0,1. YES,2. FEMALE,3. OWN CHILD,,7,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2016,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,5,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11. DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. MAR,2020,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199027,6,0,1. YES,1. MALE,3. OWN CHILD,,14,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2009,1. YES,,2. NO,12. ALL 12 MONTHS,1. YES,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,1. YES,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)",8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,7,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199027,8,0,1. YES,1. MALE,3. OWN CHILD,,12,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2011,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,2. NO,,1. YES,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)",8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,9,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199027,10,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. TO JOIN THEIR FAMILY ALREADY LIVING IN ANOTHER LOCATION,,,"52. INTEGRATED ISLAMIC EDUCATION (ISLAMIYYA, TSANGAYA, OR QUR'ANIC)","52. INTEGRATED ISLAMIC EDUCATION (ISLAMIYYA, TSANGAYA, OR QUR'ANIC)",,,,2. NO,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,8. AUG,2022,,,1. INSIDE NIGERIA,1823. ZARIA,,12,4. RECEIVED ASSISTANCE FROM FRIENDS &amp; FAMILY,
3. North West,19. Kano,1924. KIRU,356,199027,11,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. TO JOIN THEIR FAMILY ALREADY LIVING IN ANOTHER LOCATION,,,"52. INTEGRATED ISLAMIC EDUCATION (ISLAMIYYA, TSANGAYA, OR QUR'ANIC)","52. INTEGRATED ISLAMIC EDUCATION (ISLAMIYYA, TSANGAYA, OR QUR'ANIC)",,,,2. NO,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,8. AUG,2022,,,1. INSIDE NIGERIA,1823. ZARIA,,12,4. RECEIVED ASSISTANCE FROM FRIENDS &amp; FAMILY,
3. North West,19. Kano,1924. KIRU,356,199027,12,0,1. YES,2. FEMALE,10. PARENT,,74,2. NO,,,1949,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,6. WIDOWED,18,,,,,,,,,,,,,,,,,2. NO,,2. NO,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)","1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,"52. ISLAMIC EDUCATION (ISLAMIYYA,TSANGAYA, OR QUR'ANIC)","1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199027,5101,1,,1. MALE,3. OWN CHILD,,1,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",7. JUL,2022,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,7. JUL,2022,1. NEW BORN,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,1,0,1. YES,1. MALE,1. HEAD,,50,2. NO,,,1973,1. YES,,1. YES,4,2. NO,2. MARRIED (POLYGAMOUS),34,1. YES,2,7,,,2007,2016,,,2. NO,,,,,,,2. NO,,2. NO,51. QUARANIC,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,1. YES,51. QUARANIC,15. ACCOMODATION &amp; FOOD SERVICES,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,2,0,1. YES,2. FEMALE,2. SPOUSE,,32,2. NO,,,1991,1. YES,,1. YES,0. ZERO / LESS THAN A MONTH,,2. MARRIED (POLYGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,51. QUARANIC,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,1. YES,51. QUARANIC,99. DON'T KNOW,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,3,0,1. YES,1. MALE,3. OWN CHILD,,15,2. NO,,,2008,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,4,0,1. YES,2. FEMALE,3. OWN CHILD,,9,2. NO,,,2014,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,5,0,1. YES,1. MALE,3. OWN CHILD,,7,2. NO,,,2015,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,7,0,1. YES,2. FEMALE,2. SPOUSE,,35,2. NO,,,1988,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,2. MARRIED (POLYGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,51. QUARANIC,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,51. QUARANIC,15. ACCOMODATION &amp; FOOD SERVICES,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,8,0,1. YES,1. MALE,3. OWN CHILD,,7,2. NO,,,2016,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,10,0,1. YES,1. MALE,3. OWN CHILD,,4,2. NO,,6. JUN,2019,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199030,801,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. TO JOIN THEIR FAMILY ALREADY LIVING IN ANOTHER LOCATION,,,0. NONE,0. NONE,,,,2. NO,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,1. JAN,2022,,,1. INSIDE NIGERIA,1924. KIRU,,19,4. RECEIVED ASSISTANCE FROM FRIENDS &amp; FAMILY,
3. North West,19. Kano,1924. KIRU,356,199030,901,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11. DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. AUG,2022,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199030,1301,0,1. YES,2. FEMALE,3. OWN CHILD,,5,2. NO,,8. AUG,2017,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,7,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,1,0,1. YES,1. MALE,1. HEAD,,36,2. NO,,,1987,1. YES,,1. YES,6,2. NO,1. MARRIED (MONOGAMOUS),24,1. YES,2,,,,2014,,,,2. NO,,,,,,,2. NO,,1. YES,51. QUARANIC,"1. AGRICULTURE, FORESTRY &amp; FISHING",1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,51. QUARANIC,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,2,0,1. YES,2. FEMALE,2. SPOUSE,,25,2. NO,,,1998,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,1. YES,51. QUARANIC,8. WHOLESALE &amp; RETAIL TRADE,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,99. DON'T KNOW,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,3,0,1. YES,2. FEMALE,3. OWN CHILD,,10,2. NO,,,2013,2. NO,2. NO,1. YES,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,4,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199031,102,0,1. YES,1. MALE,3. OWN CHILD,,2,2. NO,,9. SEP,2020,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,103,0,1. YES,2. FEMALE,3. OWN CHILD,,7,2. NO,,,2015,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,901,0,1. YES,1. MALE,3. OWN CHILD,,4,2. NO,,7. JUL,2018,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,1501,0,1. YES,2. FEMALE,3. OWN CHILD,,1,2. NO,,8. AUG,2022,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199031,1502,0,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. NEVER BEEN A MEMBER / RECORDED WRONGLY IN WAVE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
3. North West,19. Kano,1924. KIRU,356,199031,1901,0,1. YES,1. MALE,3. OWN CHILD,,0,2. NO,,5. MAY,2023,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. North West,19. Kano,1924. KIRU,356,199032,1,0,1. YES,1. MALE,1. HEAD,,64,2. NO,,,1959,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,2. MARRIED (POLYGAMOUS),25,1. YES,2,3,,,1988,2000,,,2. NO,,,,,,,2. NO,,2. NO,51. QUARANIC,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,51. QUARANIC,19. NEVER WORKED,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
