zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129116,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129116,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129116,201,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129117,1,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129117,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,1. URBAN,2598,129117,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,2. RURAL,0,129122,2,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to a town/city - another State,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,2. RURAL,0,129122,1401,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1212. OREDO,2. RURAL,0,129122,1701,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to a town/city - another State,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,2,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,3,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,6. GO TO STUDY,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,5,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129123,5102,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129124,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129124,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129124,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129124,5101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129127,1,1. YES,1. YES,1. YES,1. PERMANENTLY,5. JOIN REST OF THE FAMILY,,,Moving to a town/city - another State,,,,RELATIVES OR/AND FRIENDS LIVING THERE,,,14. NO CONSTRAINT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129127,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129127,3,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129127,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,1,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129128,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,3,1. YES,1. YES,1. YES,2. TEMPORARILY,6. GO TO STUDY,,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO FIND A JOB,,,12. SCHOOLING OR IN EDUCATION,,1. YES,2. NO,,,,,,,7. ASSISTANCE FROM FAMILYÂ ANDÂ FRIENDS,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,4,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129129,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129131,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1215. OVIA SOUTH WEST,2. RURAL,810,129132,1,1. YES,1. YES,1. YES,1. PERMANENTLY,2. START UP A NEW BUSINESS,,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129134,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129134,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129134,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129134,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129135,1,1. YES,1. YES,1. YES,1. PERMANENTLY,2. START UP A NEW BUSINESS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129135,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129136,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129136,5101,1. YES,1. YES,1. YES,2. TEMPORARILY,5. JOIN REST OF THE FAMILY,2. START UP A NEW BUSINESS,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO FIND A JOB,AFFORDABLE TO TRAVEL TO THE DESTINATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129136,5102,1. YES,1. YES,1. YES,2. TEMPORARILY,6. GO TO STUDY,7. START A NEW FAMILY,,Moving to a town/city - another State,,,,RELATIVES OR/AND FRIENDS LIVING THERE,AFFORDABLE TO TRAVEL TO THE DESTINATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129136,5103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129137,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129137,2,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to capital city,,,,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,EASIER TO FIND A JOB,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129137,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129139,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129139,3,1. YES,1. YES,1. YES,2. TEMPORARILY,6. GO TO STUDY,1. FIND BETTER JOBS,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,RELATIVES OR/AND FRIENDS LIVING THERE,,3. DON'T KNOW WHERE TO GO,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129139,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129139,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129139,1701,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,1,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to capital city,,,,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,1302,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129141,1303,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129142,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129142,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129142,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129142,5101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,1,1. YES,1. YES,1. YES,2. TEMPORARILY,2. START UP A NEW BUSINESS,,,Moving to capital city,,,,RELATIVES OR/AND FRIENDS LIVING THERE,EASIER TO FIND A JOB,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,2101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1216. OWAN EAST,1. URBAN,694,129143,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129145,1,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129145,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129145,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129145,6,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129145,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129146,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,3,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1007. IKA NORTH EAST,1. URBAN,0,129147,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,0,129148,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,0,129148,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129152,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129153,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129153,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129153,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129153,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129153,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,1,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129154,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129156,1,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129156,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129156,3,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1218. UHUNMUONDE,1. URBAN,196,129156,4,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,226,129168,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,566,129170,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,566,129170,3,1. YES,1. YES,1. YES,2. TEMPORARILY,2. START UP A NEW BUSINESS,,,Moving to capital city,,,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,12. Edo,1209. ETSAKO WEST,1. URBAN,566,129170,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
