CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH15,CH16,NIVEL_ED,edad2,CAT_OCUP,INTENSI,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,PP04A,PP04B1,PP04B2,PP04C,PP04G,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,AGLOMERADO,informal
8.0,2.0,34.0,5.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,1156.0,3.0,3.0,2.0,3.0,32.0,32.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,9.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,32.0,1
3.0,1.0,36.0,5.0,1.0,1.0,2.0,0.0,6.0,1.0,3.0,1.0,6.0,1296.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
8.0,1.0,19.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,1.0,5.0,361.0,4.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1
5.0,2.0,19.0,5.0,4.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,361.0,2.0,2.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,62.0,1.0,4.0,1.0,2.0,0.0,6.0,1.0,3.0,1.0,6.0,3844.0,3.0,1.0,1.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,2.0,47.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,2209.0,3.0,1.0,2.0,2.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,11.0,5.0,9.0,9.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,4.0,33.0,1
1.0,2.0,40.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,1600.0,2.0,2.0,1.0,0.0,20.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,1.0,39.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1521.0,1.0,3.0,2.0,2.0,30.0,20.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,18.0,5.0,4.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,5.0,324.0,3.0,2.0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,2.0,38.0,1.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,1444.0,3.0,3.0,1.0,0.0,56.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,7.0,11.0,4.0,9.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,33.0,1
2.0,1.0,39.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1521.0,3.0,2.0,1.0,0.0,40.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,9.0,5.0,9.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,33.0,1
3.0,1.0,32.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1024.0,3.0,1.0,1.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,99.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
2.0,2.0,61.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,3721.0,3.0,2.0,1.0,0.0,20.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
3.0,1.0,32.0,5.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,1024.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,28.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,784.0,2.0,2.0,1.0,0.0,40.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,28.0,5.0,4.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,5.0,784.0,2.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,2.0,36.0,5.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1296.0,3.0,2.0,1.0,0.0,27.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,33.0,0
1.0,2.0,58.0,4.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,3364.0,3.0,1.0,1.0,0.0,18.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,99.0,10.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
3.0,2.0,34.0,5.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,1156.0,3.0,1.0,1.0,0.0,18.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,99.0,10.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,2.0,64.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,4096.0,3.0,2.0,1.0,0.0,20.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
2.0,2.0,65.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,4.0,4225.0,3.0,2.0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,1.0,55.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,3025.0,1.0,2.0,1.0,0.0,40.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,56.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,3136.0,2.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
