ANO4,CH03,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,PP07H,P21,PP3E_TOT,PONDERA,IPCF
2005.0,1.0,1.0,38.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,3200.0,45.0,1415.0,2300.0
2005.0,2.0,2.0,27.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,1500.0,0.0,1415.0,2300.0
2005.0,3.0,2.0,0.0,5.0,1.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1415.0,2300.0
2005.0,1.0,2.0,39.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,1000.0,40.0,1189.0,1000.0
2005.0,1.0,1.0,42.0,5.0,12.0,6.0,1.0,3.0,0.0,1.0,2000.0,40.0,1063.0,2000.0
2005.0,1.0,1.0,39.0,2.0,2.0,5.0,1.0,3.0,0.0,1.0,1700.0,55.0,1555.0,340.0
2005.0,2.0,2.0,37.0,2.0,2.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,1555.0,340.0
2005.0,3.0,1.0,11.0,5.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1555.0,340.0
2005.0,3.0,2.0,7.0,5.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1555.0,340.0
2005.0,3.0,1.0,5.0,5.0,2.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,1555.0,340.0
2005.0,1.0,2.0,23.0,5.0,4.0,6.0,1.0,2.0,0.0,0.0,1100.0,0.0,1652.0,1100.0
2005.0,1.0,1.0,40.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,1100.0,48.0,1224.0,675.0
2005.0,2.0,2.0,30.0,2.0,1.0,4.0,1.0,3.0,0.0,2.0,250.0,9.0,1224.0,675.0
2005.0,1.0,2.0,70.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1320.0,970.0
2005.0,1.0,1.0,25.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,950.0,40.0,921.0,508.3333333333333
2005.0,8.0,2.0,20.0,5.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,921.0,508.3333333333333
2005.0,6.0,2.0,57.0,3.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,921.0,508.3333333333333
2005.0,1.0,2.0,62.0,3.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1051.0,875.0
2005.0,3.0,2.0,32.0,5.0,4.0,4.0,1.0,3.0,0.0,2.0,1000.0,40.0,1051.0,875.0
2005.0,1.0,1.0,46.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2000.0,60.0,1161.0,666.6666666666666
2005.0,2.0,2.0,45.0,2.0,2.0,6.0,1.0,4.0,0.0,0.0,0.0,25.0,1161.0,666.6666666666666
2005.0,3.0,1.0,14.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1161.0,666.6666666666666
2005.0,1.0,1.0,39.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0,1100.0,48.0,1150.0,1100.0
2005.0,2.0,2.0,21.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,700.0,40.0,1150.0,1100.0
2005.0,1.0,1.0,53.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,800.0,48.0,1890.0,800.0
2005.0,1.0,1.0,67.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,800.0,32.0,1595.0,500.0
2005.0,8.0,2.0,62.0,5.0,4.0,2.0,1.0,2.0,0.0,0.0,300.0,30.0,1595.0,500.0
