ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1187.0,2.0,51.0,5.0,4.0,4.0,1.0,0.0,500.0,3.0,2.0,500.0,2.0,2.0
2005,1394.0,1.0,82.0,2.0,1.0,2.0,3.0,1.0,325.0,0.0,0.0,0.0,,
2005,1394.0,2.0,84.0,2.0,1.0,4.0,3.0,4.0,325.0,0.0,0.0,0.0,,
2005,2514.0,1.0,22.0,1.0,1.0,3.0,1.0,0.0,180.0,3.0,1.0,600.0,2.0,
2005,2514.0,2.0,28.0,1.0,4.0,3.0,3.0,4.0,180.0,0.0,0.0,0.0,,
2005,2514.0,1.0,4.0,5.0,1.0,7.0,4.0,5.0,180.0,0.0,0.0,0.0,,
2005,2514.0,2.0,,5.0,4.0,7.0,4.0,5.0,180.0,0.0,0.0,0.0,,
2005,1415.0,1.0,38.0,2.0,1.0,5.0,1.0,0.0,2300.0,3.0,1.0,3200.0,2.0,11.0
2005,1415.0,2.0,27.0,2.0,1.0,5.0,1.0,0.0,2300.0,3.0,1.0,1500.0,2.0,12.0
2005,1415.0,2.0,,5.0,1.0,7.0,4.0,5.0,2300.0,0.0,0.0,0.0,,
2005,1189.0,2.0,39.0,5.0,1.0,5.0,1.0,0.0,1000.0,3.0,1.0,1000.0,2.0,9.0
2005,1063.0,1.0,42.0,5.0,12.0,6.0,1.0,0.0,2000.0,3.0,1.0,2000.0,1.0,8.0
2005,1555.0,1.0,39.0,2.0,2.0,5.0,1.0,0.0,340.0,3.0,1.0,1700.0,2.0,9.0
2005,1555.0,2.0,37.0,2.0,2.0,5.0,3.0,4.0,340.0,0.0,0.0,0.0,,
2005,1555.0,1.0,11.0,5.0,2.0,1.0,3.0,3.0,340.0,0.0,0.0,0.0,,
2005,1555.0,2.0,7.0,5.0,2.0,1.0,4.0,3.0,340.0,0.0,0.0,0.0,,
2005,1555.0,1.0,5.0,5.0,2.0,7.0,4.0,5.0,340.0,0.0,0.0,0.0,,
2005,1652.0,2.0,23.0,5.0,4.0,6.0,1.0,0.0,1100.0,2.0,0.0,1100.0,2.0,6.0
2005,1224.0,1.0,40.0,2.0,1.0,3.0,1.0,0.0,675.0,3.0,1.0,1100.0,2.0,1.0
2005,1224.0,2.0,30.0,2.0,1.0,4.0,1.0,0.0,675.0,3.0,2.0,250.0,2.0,
2005,1320.0,2.0,70.0,4.0,1.0,1.0,3.0,1.0,970.0,0.0,0.0,0.0,,
2005,921.0,1.0,25.0,5.0,1.0,5.0,1.0,0.0,508.3333333333333,3.0,1.0,950.0,2.0,
2005,921.0,2.0,20.0,5.0,2.0,5.0,2.0,0.0,508.3333333333333,3.0,0.0,0.0,,
2005,921.0,2.0,57.0,3.0,4.0,2.0,3.0,4.0,508.3333333333333,0.0,0.0,0.0,,
2005,1051.0,2.0,62.0,3.0,4.0,5.0,2.0,0.0,875.0,3.0,0.0,0.0,,
2005,1051.0,2.0,32.0,5.0,4.0,4.0,1.0,0.0,875.0,3.0,2.0,1000.0,2.0,
2005,1161.0,1.0,46.0,2.0,2.0,4.0,1.0,0.0,666.6666666666666,1.0,0.0,2000.0,2.0,6.0
2005,1161.0,2.0,45.0,2.0,2.0,6.0,1.0,0.0,666.6666666666666,4.0,0.0,0.0,2.0,6.0
2005,1161.0,1.0,14.0,5.0,2.0,3.0,3.0,3.0,666.6666666666666,0.0,0.0,0.0,,
2005,1150.0,1.0,39.0,1.0,1.0,5.0,1.0,0.0,1100.0,3.0,2.0,1100.0,2.0,11.0
